campaign_id,date,campaign_name,channel,spend,impressions,clicks,conversions,revenue
CMP2001,2025-03-10,SparkAds_Influencer,TikTok Ads,1429.99,69248,1571,54,5991.9
CMP2002,2025-03-08,PreRoll_BrandAwareness,YouTube Ads,166.22,10761,77,5,862.95
CMP2003,2025-03-22,Retargeting_AddToCart,Meta Ads,1266.41,5887,284,5,825.0
CMP2004,2025-03-24,InFeedVideo_GenZ_Trend,TikTok Ads,634.45,16886,294,19,1757.76
CMP2005,2025-04-24,Search_Brand_Core,Google Ads,58.19,778,31,1,66.97
CMP2006,2025-04-23,PerformanceMax_Retail,Google Ads,393.98,5548,187,13,750.44
CMP2007,2025-04-05,PerformanceMax_Retail,Google Ads,408.28,3056,143,8,1092.53
CMP2008,2025-03-22,BumperAds_SummerSale,YouTube Ads,836.6,3925,196,7,340.7
CMP2009,2025-03-07,JobHolders_TechSkill,LinkedIn Ads,416.17,2352,108,6,884.24
CMP2010,2025-04-02,SparkAds_Influencer,TikTok Ads,263.42,1942,85,1,145.54
CMP2011,2025-04-15,PerformanceMax_Retail,Google Ads,123.54,3027,45,1,126.96
CMP2012,2025-04-11,BumperAds_SummerSale,YouTube Ads,533.92,257616,2610,61,6925.92
CMP2013,2025-04-16,PreRoll_BrandAwareness,YouTube Ads,113.72,3511,34,1,61.21
CMP2014,2025-04-12,InFeedVideo_GenZ_Trend,TikTok Ads,1066.21,30602,1253,89,4146.87
CMP2015,2025-03-13,Prospecting_Lookalike_US,Meta Ads,186.79,7264,246,4,197.41
CMP2016,2025-04-30,InFeedVideo_GenZ_Trend,TikTok Ads,833.77,18372,376,15,1007.83
CMP2017,2025-04-07,JobHolders_TechSkill,LinkedIn Ads,260.73,10435,246,18,2226.65
CMP2018,2025-03-26,B2B_DecisionMakers,LinkedIn Ads,326.19,3189,72,2,155.96
CMP2019,2025-03-20,Search_Brand_Core,Google Ads,1488.66,37372,577,6,307.2
CMP2020,2025-03-20,Search_Brand_Core,Google Ads,1240.52,20836,736,30,4258.47
CMP2021,2025-03-12,Search_Brand_Core,Google Ads,1054.86,6338,273,13,809.27
CMP2022,2025-04-14,PerformanceMax_Retail,Google Ads,1116.05,12468,347,7,654.51
CMP2023,2025-03-29,Prospecting_Lookalike_US,Meta Ads,1368.71,15997,495,36,1808.79
CMP2024,2025-03-30,Retargeting_AddToCart,Meta Ads,897.67,33309,333,10,1608.47
